# date, vza, vaa, sza, saa
2016/01/03 05:23,34.3773946043,100.545700717,105.298744327,107.406448412
2016/01/08 05:31,23.4284120953,102.103838392,103.928256857,108.076934788
2016/01/10 05:15,43.0193506444,99.070256195,106.431214201,104.89148995
2016/01/15 05:23,33.8209904101,100.628079944,104.815756775,105.438618041
2016/01/20 05:31,22.7857956567,102.140656608,103.03192571,105.929012326
2016/01/22 05:15,42.5643183914,99.1507932143,105.402896934,102.636939338
2016/01/27 05:24,33.2807040315,100.7109076,103.376015942,103.060566593
2016/02/01 05:32,22.1607802218,102.266198079,101.188324302,103.468117016
2016/02/03 05:16,42.1279953209,99.2274500917,103.434576442,100.095262103
2016/02/08 05:24,32.7599350761,100.794815731,101.027610588,100.48389794
2016/02/13 05:32,21.5545569057,102.344527954,98.4829124188,100.884563774
2016/02/15 05:16,41.7103641552,99.3045386835,100.62165244,97.4587545017
2016/02/20 05:24,32.2566106152,100.867965093,97.8993763982,97.871715344
2016/02/25 05:33,20.9642877995,102.422925827,95.0735589543,98.3098139634
2016/02/27 05:16,41.3057304735,99.380166814,97.1308092121,94.8552020591
2016/03/03 05:25,31.7642308332,100.938441826,94.1811803866,95.3185288561
2016/03/08 05:33,20.3845501664,102.506064982,91.1685733677,95.8071669519
2016/03/10 05:17,40.9051549974,99.4576036114,93.1763418714,92.3420781694
2016/03/15 05:25,31.2746765061,101.014455493,90.0998117695,92.854532029
2016/03/22 05:17,40.5002143713,99.5361413739,88.9965142948,89.9220759954
2016/03/27 05:26,30.7816499155,101.091753457,85.8972878463,90.4665755706
2016/04/03 05:18,40.0865578188,99.6186951554,84.8343073097,87.5696737014
2016/04/08 05:26,30.2833342981,101.163662747,81.8138191902,88.1261433825
2016/04/15 05:18,39.6657751897,99.6817665022,80.922659102,85.2599552343
2016/04/20 05:26,29.7831705826,101.235035167,78.0740478314,85.8176274165
2016/04/27 05:18,39.244804142,99.7633999436,77.471164979,82.9952801397
2016/05/02 05:27,29.2884598133,101.305612858,74.8740039318,83.562567174
2016/05/09 05:19,38.8331321928,99.817197456,74.6532535167,80.8243760215
2016/05/14 05:27,28.8074324594,101.366991752,72.367207254,81.4353708572
2016/05/21 05:19,38.4390149216,99.8851359001,72.5918243851,78.8509574855
2016/05/26 05:27,28.3460321742,101.430056246,70.6511784733,79.5647296235
2016/06/02 05:19,38.0662323041,99.9402991074,71.3485544919,77.2243582557
2016/06/07 05:28,27.9057019148,101.491523891,69.7586879369,78.1165815904
2016/06/14 05:20,37.7127008382,100.034418282,70.9194017209,76.1143218506
2016/06/19 05:28,27.4830063913,101.552028151,69.6582408641,77.2619835828
2016/06/26 05:20,37.3714177826,100.068302939,71.2421193655,75.6750744655
2016/07/01 05:28,27.0711965212,101.611782004,70.2659586051,77.1408137807
2016/07/08 05:20,37.0334633971,100.123487281,72.2120803875,76.0148055069
2016/07/13 05:29,26.663079384,101.671122815,71.4659960175,77.8345251915
2016/07/20 05:21,36.6916988347,100.179799579,73.7054112748,77.1764112792
2016/07/25 05:29,26.2540343571,101.729121441,73.1333830896,79.3549345687
2016/08/01 05:21,36.3437949115,100.238169884,75.5998222698,79.1350793481
2016/08/06 05:29,25.8439358866,101.784433872,75.1532390926,81.6474059254
2016/08/08 05:13,44.7488066361,98.7465832821,78.1732788351,79.1317255109
2016/08/13 05:21,35.9932350234,100.297743703,77.790211197,81.8061113147
2016/08/18 05:29,25.4371968126,101.838922256,77.4328025953,84.6020937886
2016/08/20 05:13,44.4564990817,98.8014124432,80.5081302308,82.1369448458
2016/08/25 05:21,35.6479139408,100.344582682,80.1965260639,85.0572673144
2016/08/30 05:30,25.0409593753,101.892831288,79.9054446584,88.0673112033
2016/09/01 05:13,44.1737626619,98.8510957484,83.0211887809,85.6324802639
2016/09/06 05:22,35.31695201,100.40420154,82.7638593802,88.7215103452
2016/09/11 05:30,24.6622396069,101.932903798,82.5275239415,91.8618736701
2016/09/13 05:14,43.9091914163,98.8984768995,85.6677853398,89.4386899701
2016/09/18 05:22,35.0070605396,100.438733458,85.4567224062,92.6077334078
2016/09/23 05:30,24.3052123484,101.982447665,85.2696098578,95.7858811589
2016/09/25 05:14,43.6668446784,98.939190807,88.4177673278,93.3569343271
2016/09/30 05:22,34.7199410406,100.483621564,88.248065991,96.5109473106
2016/10/05 05:30,23.9696942223,102.027642221,88.1044814723,99.630081075
2016/10/07 05:14,43.4446735204,98.9822263816,91.2434634389,97.1787788305
2016/10/12 05:22,34.4517086895,100.526668263,91.1066598967,100.221000117
2016/10/17 05:31,23.6518068142,101.707017627,90.9943147833,103.184535098
2016/10/19 05:14,43.2354191921,99.0264745528,94.106431108,100.694996708
2016/10/24 05:23,34.1945689471,100.570722365,93.9837445992,103.532323479
2016/10/29 05:31,23.3436783871,102.130266869,93.8749894792,106.252674515
2016/10/31 05:15,43.0296330645,99.071355235,96.9449787993,103.705721615
2016/11/05 05:23,33.9400719357,100.616285303,96.8021099881,106.25475286
2016/11/10 05:31,23.0405072762,102.157384481,96.6541856131,108.654899548
2016/11/12 05:15,42.8196095175,99.1141198523,99.6650333028,106.032587292
2016/11/17 05:23,33.6826383032,100.656188368,99.4496379335,108.226738239
2016/11/22 05:31,22.7387736004,102.198003259,99.2010108613,110.251136981
2016/11/24 05:15,42.6026180543,99.1653597602,102.136613049,107.533988216
2016/11/29 05:23,33.4218986632,100.699217222,101.77954477,109.33167108
2016/12/04 05:31,22.4396530261,102.235205997,101.354184444,110.953443289
2016/12/06 05:15,42.3820760651,99.1953367557,104.198585433,108.123221718
2016/12/11 05:23,33.1628659734,100.734466964,103.619672235,109.516236253
2016/12/16 05:32,22.1480813836,102.271745911,102.93513474,110.744495255
2016/12/18 05:15,42.1661791248,99.2331031353,105.67278829,107.78796085
2016/12/23 05:24,32.9138913313,100.768032865,104.791675841,108.806990537
2016/12/28 05:32,21.8707343871,102.308387385,103.771602957,109.689679651
2016/12/30 05:15,41.9645689458,99.2654664783,106.389020567,106.602625137
